time,lower_setpoint_K,upper_setpoint_K,occupancy,lower_setpoint_C,upper_setpoint_C
0,288.15,303.15,0,15.0,30.0
3600,288.15,303.15,0,15.0,30.0
7200,288.15,303.15,0,15.0,30.0
10800,288.15,303.15,0,15.0,30.0
14400,288.15,303.15,0,15.0,30.0
18000,288.15,303.15,0,15.0,30.0
21600,288.15,303.15,0,15.0,30.0
25200,288.15,303.15,0,15.0,30.0
28800,294.15,297.15,2,21.0,24.0
32400,294.15,297.15,2,21.0,24.0
36000,294.15,297.15,2,21.0,24.0
39600,294.15,297.15,2,21.0,24.0
43200,294.15,297.15,2,21.0,24.0
46800,294.15,297.15,2,21.0,24.0
50400,294.15,297.15,2,21.0,24.0
54000,294.15,297.15,2,21.0,24.0
57600,294.15,297.15,2,21.0,24.0
61200,294.15,297.15,2,21.0,24.0
64800,294.15,297.15,2,21.0,24.0
68400,288.15,303.15,0,15.0,30.0
72000,288.15,303.15,0,15.0,30.0
75600,288.15,303.15,0,15.0,30.0
79200,288.15,303.15,0,15.0,30.0
82800,288.15,303.15,0,15.0,30.0
86400,288.15,303.15,0,15.0,30.0
90000,288.15,303.15,0,15.0,30.0
93600,288.15,303.15,0,15.0,30.0
97200,288.15,303.15,0,15.0,30.0
100800,288.15,303.15,0,15.0,30.0
104400,288.15,303.15,0,15.0,30.0
108000,288.15,303.15,0,15.0,30.0
111600,288.15,303.15,0,15.0,30.0
115200,294.15,297.15,2,21.0,24.0
118800,294.15,297.15,2,21.0,24.0
122400,294.15,297.15,2,21.0,24.0
126000,294.15,297.15,2,21.0,24.0
129600,294.15,297.15,2,21.0,24.0
133200,294.15,297.15,2,21.0,24.0
136800,294.15,297.15,2,21.0,24.0
140400,294.15,297.15,2,21.0,24.0
144000,294.15,297.15,2,21.0,24.0
147600,294.15,297.15,2,21.0,24.0
151200,294.15,297.15,2,21.0,24.0
154800,288.15,303.15,0,15.0,30.0
158400,288.15,303.15,0,15.0,30.0
162000,288.15,303.15,0,15.0,30.0
165600,288.15,303.15,0,15.0,30.0
169200,288.15,303.15,0,15.0,30.0
172800,288.15,303.15,0,15.0,30.0
176400,288.15,303.15,0,15.0,30.0
180000,288.15,303.15,0,15.0,30.0
183600,288.15,303.15,0,15.0,30.0
187200,288.15,303.15,0,15.0,30.0
190800,288.15,303.15,0,15.0,30.0
194400,288.15,303.15,0,15.0,30.0
198000,288.15,303.15,0,15.0,30.0
201600,294.15,297.15,2,21.0,24.0
205200,294.15,297.15,2,21.0,24.0
208800,294.15,297.15,2,21.0,24.0
212400,294.15,297.15,2,21.0,24.0
216000,294.15,297.15,2,21.0,24.0
219600,294.15,297.15,2,21.0,24.0
223200,294.15,297.15,2,21.0,24.0
226800,294.15,297.15,2,21.0,24.0
230400,294.15,297.15,2,21.0,24.0
234000,294.15,297.15,2,21.0,24.0
237600,294.15,297.15,2,21.0,24.0
241200,288.15,303.15,0,15.0,30.0
244800,288.15,303.15,0,15.0,30.0
248400,288.15,303.15,0,15.0,30.0
252000,288.15,303.15,0,15.0,30.0
255600,288.15,303.15,0,15.0,30.0
259200,288.15,303.15,0,15.0,30.0
262800,288.15,303.15,0,15.0,30.0
266400,288.15,303.15,0,15.0,30.0
270000,288.15,303.15,0,15.0,30.0
273600,288.15,303.15,0,15.0,30.0
277200,288.15,303.15,0,15.0,30.0
280800,288.15,303.15,0,15.0,30.0
284400,288.15,303.15,0,15.0,30.0
288000,294.15,297.15,2,21.0,24.0
291600,294.15,297.15,2,21.0,24.0
295200,294.15,297.15,2,21.0,24.0
298800,294.15,297.15,2,21.0,24.0
302400,294.15,297.15,2,21.0,24.0
306000,294.15,297.15,2,21.0,24.0
309600,294.15,297.15,2,21.0,24.0
313200,294.15,297.15,2,21.0,24.0
316800,294.15,297.15,2,21.0,24.0
320400,294.15,297.15,2,21.0,24.0
324000,294.15,297.15,2,21.0,24.0
327600,288.15,303.15,0,15.0,30.0
331200,288.15,303.15,0,15.0,30.0
334800,288.15,303.15,0,15.0,30.0
338400,288.15,303.15,0,15.0,30.0
342000,288.15,303.15,0,15.0,30.0
345600,288.15,303.15,0,15.0,30.0
349200,288.15,303.15,0,15.0,30.0
352800,288.15,303.15,0,15.0,30.0
356400,288.15,303.15,0,15.0,30.0
360000,288.15,303.15,0,15.0,30.0
363600,288.15,303.15,0,15.0,30.0
367200,288.15,303.15,0,15.0,30.0
370800,288.15,303.15,0,15.0,30.0
374400,294.15,297.15,2,21.0,24.0
378000,294.15,297.15,2,21.0,24.0
381600,294.15,297.15,2,21.0,24.0
385200,294.15,297.15,2,21.0,24.0
388800,294.15,297.15,2,21.0,24.0
392400,294.15,297.15,2,21.0,24.0
396000,294.15,297.15,2,21.0,24.0
399600,294.15,297.15,2,21.0,24.0
403200,294.15,297.15,2,21.0,24.0
406800,294.15,297.15,2,21.0,24.0
410400,294.15,297.15,2,21.0,24.0
414000,288.15,303.15,0,15.0,30.0
417600,288.15,303.15,0,15.0,30.0
421200,288.15,303.15,0,15.0,30.0
424800,288.15,303.15,0,15.0,30.0
428400,288.15,303.15,0,15.0,30.0
432000,288.15,303.15,0,15.0,30.0
435600,288.15,303.15,0,15.0,30.0
439200,288.15,303.15,0,15.0,30.0
442800,288.15,303.15,0,15.0,30.0
446400,288.15,303.15,0,15.0,30.0
450000,288.15,303.15,0,15.0,30.0
453600,288.15,303.15,0,15.0,30.0
457200,288.15,303.15,0,15.0,30.0
460800,294.15,297.15,2,21.0,24.0
464400,294.15,297.15,2,21.0,24.0
468000,294.15,297.15,2,21.0,24.0
471600,294.15,297.15,2,21.0,24.0
475200,294.15,297.15,2,21.0,24.0
478800,294.15,297.15,2,21.0,24.0
482400,294.15,297.15,2,21.0,24.0
486000,294.15,297.15,2,21.0,24.0
489600,294.15,297.15,2,21.0,24.0
493200,294.15,297.15,2,21.0,24.0
496800,294.15,297.15,2,21.0,24.0
500400,288.15,303.15,0,15.0,30.0
504000,288.15,303.15,0,15.0,30.0
507600,288.15,303.15,0,15.0,30.0
511200,288.15,303.15,0,15.0,30.0
514800,288.15,303.15,0,15.0,30.0
518400,288.15,303.15,0,15.0,30.0
522000,288.15,303.15,0,15.0,30.0
525600,288.15,303.15,0,15.0,30.0
529200,288.15,303.15,0,15.0,30.0
532800,288.15,303.15,0,15.0,30.0
536400,288.15,303.15,0,15.0,30.0
540000,288.15,303.15,0,15.0,30.0
543600,288.15,303.15,0,15.0,30.0
547200,294.15,297.15,2,21.0,24.0
550800,294.15,297.15,2,21.0,24.0
554400,294.15,297.15,2,21.0,24.0
558000,294.15,297.15,2,21.0,24.0
561600,294.15,297.15,2,21.0,24.0
565200,294.15,297.15,2,21.0,24.0
568800,294.15,297.15,2,21.0,24.0
572400,294.15,297.15,2,21.0,24.0
576000,294.15,297.15,2,21.0,24.0
579600,294.15,297.15,2,21.0,24.0
583200,294.15,297.15,2,21.0,24.0
586800,288.15,303.15,0,15.0,30.0
590400,288.15,303.15,0,15.0,30.0
594000,288.15,303.15,0,15.0,30.0
597600,288.15,303.15,0,15.0,30.0
601200,288.15,303.15,0,15.0,30.0
604800,288.15,303.15,0,15.0,30.0
608400,288.15,303.15,0,15.0,30.0
612000,288.15,303.15,0,15.0,30.0
615600,288.15,303.15,0,15.0,30.0
619200,288.15,303.15,0,15.0,30.0
622800,288.15,303.15,0,15.0,30.0
626400,288.15,303.15,0,15.0,30.0
630000,288.15,303.15,0,15.0,30.0
633600,294.15,297.15,2,21.0,24.0
637200,294.15,297.15,2,21.0,24.0
640800,294.15,297.15,2,21.0,24.0
644400,294.15,297.15,2,21.0,24.0
648000,294.15,297.15,2,21.0,24.0
651600,294.15,297.15,2,21.0,24.0
655200,294.15,297.15,2,21.0,24.0
658800,294.15,297.15,2,21.0,24.0
662400,294.15,297.15,2,21.0,24.0
666000,294.15,297.15,2,21.0,24.0
669600,294.15,297.15,2,21.0,24.0
673200,288.15,303.15,0,15.0,30.0
676800,288.15,303.15,0,15.0,30.0
680400,288.15,303.15,0,15.0,30.0
684000,288.15,303.15,0,15.0,30.0
687600,288.15,303.15,0,15.0,30.0
691200,288.15,303.15,0,15.0,30.0
694800,288.15,303.15,0,15.0,30.0
698400,288.15,303.15,0,15.0,30.0
702000,288.15,303.15,0,15.0,30.0
705600,288.15,303.15,0,15.0,30.0
709200,288.15,303.15,0,15.0,30.0
712800,288.15,303.15,0,15.0,30.0
716400,288.15,303.15,0,15.0,30.0
720000,294.15,297.15,2,21.0,24.0
723600,294.15,297.15,2,21.0,24.0
727200,294.15,297.15,2,21.0,24.0
730800,294.15,297.15,2,21.0,24.0
734400,294.15,297.15,2,21.0,24.0
738000,294.15,297.15,2,21.0,24.0
741600,294.15,297.15,2,21.0,24.0
745200,294.15,297.15,2,21.0,24.0
748800,294.15,297.15,2,21.0,24.0
752400,294.15,297.15,2,21.0,24.0
756000,294.15,297.15,2,21.0,24.0
759600,288.15,303.15,0,15.0,30.0
763200,288.15,303.15,0,15.0,30.0
766800,288.15,303.15,0,15.0,30.0
770400,288.15,303.15,0,15.0,30.0
774000,288.15,303.15,0,15.0,30.0
777600,288.15,303.15,0,15.0,30.0
781200,288.15,303.15,0,15.0,30.0
784800,288.15,303.15,0,15.0,30.0
788400,288.15,303.15,0,15.0,30.0
792000,288.15,303.15,0,15.0,30.0
795600,288.15,303.15,0,15.0,30.0
799200,288.15,303.15,0,15.0,30.0
802800,288.15,303.15,0,15.0,30.0
806400,294.15,297.15,2,21.0,24.0
810000,294.15,297.15,2,21.0,24.0
813600,294.15,297.15,2,21.0,24.0
817200,294.15,297.15,2,21.0,24.0
820800,294.15,297.15,2,21.0,24.0
824400,294.15,297.15,2,21.0,24.0
828000,294.15,297.15,2,21.0,24.0
831600,294.15,297.15,2,21.0,24.0
835200,294.15,297.15,2,21.0,24.0
838800,294.15,297.15,2,21.0,24.0
842400,294.15,297.15,2,21.0,24.0
846000,288.15,303.15,0,15.0,30.0
849600,288.15,303.15,0,15.0,30.0
853200,288.15,303.15,0,15.0,30.0
856800,288.15,303.15,0,15.0,30.0
860400,288.15,303.15,0,15.0,30.0
864000,288.15,303.15,0,15.0,30.0
867600,288.15,303.15,0,15.0,30.0
871200,288.15,303.15,0,15.0,30.0
874800,288.15,303.15,0,15.0,30.0
878400,288.15,303.15,0,15.0,30.0
882000,288.15,303.15,0,15.0,30.0
885600,288.15,303.15,0,15.0,30.0
889200,288.15,303.15,0,15.0,30.0
892800,294.15,297.15,2,21.0,24.0
896400,294.15,297.15,2,21.0,24.0
900000,294.15,297.15,2,21.0,24.0
903600,294.15,297.15,2,21.0,24.0
907200,294.15,297.15,2,21.0,24.0
910800,294.15,297.15,2,21.0,24.0
914400,294.15,297.15,2,21.0,24.0
918000,294.15,297.15,2,21.0,24.0
921600,294.15,297.15,2,21.0,24.0
925200,294.15,297.15,2,21.0,24.0
928800,294.15,297.15,2,21.0,24.0
932400,288.15,303.15,0,15.0,30.0
936000,288.15,303.15,0,15.0,30.0
939600,288.15,303.15,0,15.0,30.0
943200,288.15,303.15,0,15.0,30.0
946800,288.15,303.15,0,15.0,30.0
950400,288.15,303.15,0,15.0,30.0
954000,288.15,303.15,0,15.0,30.0
957600,288.15,303.15,0,15.0,30.0
961200,288.15,303.15,0,15.0,30.0
964800,288.15,303.15,0,15.0,30.0
968400,288.15,303.15,0,15.0,30.0
972000,288.15,303.15,0,15.0,30.0
975600,288.15,303.15,0,15.0,30.0
979200,294.15,297.15,2,21.0,24.0
982800,294.15,297.15,2,21.0,24.0
986400,294.15,297.15,2,21.0,24.0
990000,294.15,297.15,2,21.0,24.0
993600,294.15,297.15,2,21.0,24.0
997200,294.15,297.15,2,21.0,24.0
1000800,294.15,297.15,2,21.0,24.0
1004400,294.15,297.15,2,21.0,24.0
1008000,294.15,297.15,2,21.0,24.0
1011600,294.15,297.15,2,21.0,24.0
1015200,294.15,297.15,2,21.0,24.0
1018800,288.15,303.15,0,15.0,30.0
1022400,288.15,303.15,0,15.0,30.0
1026000,288.15,303.15,0,15.0,30.0
1029600,288.15,303.15,0,15.0,30.0
1033200,288.15,303.15,0,15.0,30.0
1036800,288.15,303.15,0,15.0,30.0
1040400,288.15,303.15,0,15.0,30.0
1044000,288.15,303.15,0,15.0,30.0
1047600,288.15,303.15,0,15.0,30.0
1051200,288.15,303.15,0,15.0,30.0
1054800,288.15,303.15,0,15.0,30.0
1058400,288.15,303.15,0,15.0,30.0
1062000,288.15,303.15,0,15.0,30.0
1065600,294.15,297.15,2,21.0,24.0
1069200,294.15,297.15,2,21.0,24.0
1072800,294.15,297.15,2,21.0,24.0
1076400,294.15,297.15,2,21.0,24.0
1080000,294.15,297.15,2,21.0,24.0
1083600,294.15,297.15,2,21.0,24.0
1087200,294.15,297.15,2,21.0,24.0
1090800,294.15,297.15,2,21.0,24.0
1094400,294.15,297.15,2,21.0,24.0
1098000,294.15,297.15,2,21.0,24.0
1101600,294.15,297.15,2,21.0,24.0
1105200,288.15,303.15,0,15.0,30.0
1108800,288.15,303.15,0,15.0,30.0
1112400,288.15,303.15,0,15.0,30.0
1116000,288.15,303.15,0,15.0,30.0
1119600,288.15,303.15,0,15.0,30.0
1123200,288.15,303.15,0,15.0,30.0
1126800,288.15,303.15,0,15.0,30.0
1130400,288.15,303.15,0,15.0,30.0
1134000,288.15,303.15,0,15.0,30.0
1137600,288.15,303.15,0,15.0,30.0
1141200,288.15,303.15,0,15.0,30.0
1144800,288.15,303.15,0,15.0,30.0
1148400,288.15,303.15,0,15.0,30.0
1152000,294.15,297.15,2,21.0,24.0
1155600,294.15,297.15,2,21.0,24.0
1159200,294.15,297.15,2,21.0,24.0
1162800,294.15,297.15,2,21.0,24.0
1166400,294.15,297.15,2,21.0,24.0
1170000,294.15,297.15,2,21.0,24.0
1173600,294.15,297.15,2,21.0,24.0
1177200,294.15,297.15,2,21.0,24.0
1180800,294.15,297.15,2,21.0,24.0
1184400,294.15,297.15,2,21.0,24.0
1188000,294.15,297.15,2,21.0,24.0
1191600,288.15,303.15,0,15.0,30.0
1195200,288.15,303.15,0,15.0,30.0
1198800,288.15,303.15,0,15.0,30.0
1202400,288.15,303.15,0,15.0,30.0
1206000,288.15,303.15,0,15.0,30.0
1209600,288.15,303.15,0,15.0,30.0
