time,fcu_reaFloSup_y,fcu_reaPCoo_y,fcu_reaPFan_y,fcu_reaPHea_y,zon_reaCO2RooAir_y,zon_reaPLig_y,zon_reaPPlu_y,zon_reaTRooAir_y,zon_weaSta_reaWeaCeiHei_y,zon_weaSta_reaWeaCloTim_y,zon_weaSta_reaWeaHDifHor_y,zon_weaSta_reaWeaHDirNor_y,zon_weaSta_reaWeaHGloHor_y,zon_weaSta_reaWeaHHorIR_y,zon_weaSta_reaWeaLat_y,zon_weaSta_reaWeaLon_y,zon_weaSta_reaWeaNOpa_y,zon_weaSta_reaWeaNTot_y,zon_weaSta_reaWeaPAtm_y,zon_weaSta_reaWeaRelHum_y,zon_weaSta_reaWeaSolAlt_y,zon_weaSta_reaWeaSolDec_y,zon_weaSta_reaWeaSolHouAng_y,zon_weaSta_reaWeaSolTim_y,zon_weaSta_reaWeaSolZen_y,zon_weaSta_reaWeaTBlaSky_y,zon_weaSta_reaWeaTDewPoi_y,zon_weaSta_reaWeaTDryBul_y,zon_weaSta_reaWeaTWetBul_y,zon_weaSta_reaWeaWinDir_y,zon_weaSta_reaWeaWinSpe_y,con_oveTSetCoo_activate,con_oveTSetCoo_u,con_oveTSetHea_activate,con_oveTSetHea_u,fcu_oveFan_activate,fcu_oveFan_u,fcu_oveTSup_activate,fcu_oveTSup_u,room_temperature_C,outdoor_temperature_C,lower_setpoint_C,upper_setpoint_C,occupancy,comfortable,occupied,sampled_discomfort_C,heating_thermal_energy_kWh,cooling_electric_energy_kWh,fan_electric_energy_kWh,sampled_hvac_energy_kWh
3600,0.0,0.0,0.0,0.0,316.77010563834216,56.64000000000001,25.92,290.405097251807,77777,3600,0.0,0.0,0.0,253,0.6939429105929453,-1.830152253641254,0.30000000000000004,0.7000000000000001,101325,0.5700000000000001,-1.2117031187437468,-0.40283294927680513,-2.893169371920129,3416.0653373907476,2.7824994455386434,258.4543868019217,266.54999999999995,273.15,270.67504560460424,3.543018381548489,2.8,0,303.15,0,288.15,0,0.0,0,294.15,17.255097251807,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
7200,0.0,0.0,0.0,0.0,349.51851726654303,56.64000000000001,25.92,289.8671004290895,77777,7200,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.9,101325,0.6,-1.0508888642530856,-0.4027795471132453,-2.631451564391207,7014.943528148608,2.621685191047982,259.0850159679427,267.04999999999995,273.15,270.8529351442124,3.543018381548489,3.3,0,303.15,0,288.15,0,0.0,0,294.15,16.7171004290895,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
10800,0.0,0.0,0.0,0.0,369.3814329753342,56.64000000000001,25.92,289.4183630195504,77777,10800,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.8,101325,0.5700000000000001,-0.8594404936344828,-0.4027259272719727,-2.3697337236839524,10613.822175141297,2.4302368204293794,258.94029223726903,266.45,273.15,270.67504560460424,3.141592653589793,3.7,0,303.15,0,288.15,0,0.0,0,294.15,16.268363019550407,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
14400,0.0,0.0,0.0,0.0,381.4289003436377,56.64000000000001,25.92,288.99375274764725,77777,14400,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.9,101325,0.5700000000000001,-0.6593038590675766,-0.4026720897952974,-2.1080158496670225,14212.701280174897,2.230100185862473,258.94029223726903,266.45,273.15,270.67504560460424,3.141592653589793,4.1,0,303.15,0,288.15,0,0.0,0,294.15,15.843752747647272,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
18000,0.0,0.0,0.0,0.0,388.7360586741795,56.64000000000001,25.92,288.58318651556743,77777,18000,0.0,0.0,0.0,257,0.6939429105929453,-1.830152253641254,0.5,1.0,101325,0.5700000000000001,-0.45894103277388965,-0.40261803472569446,-1.8462979422091441,17811.580845054545,2.029737359568786,259.45438147309414,266.54999999999995,273.15,270.67504560460424,3.543018381548489,4.6,0,303.15,0,288.15,0,0.0,0,294.15,15.433186515567456,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
21600,0.0,0.0,0.0,0.0,393.1680742368933,56.64000000000001,25.92,288.1859697072868,48800,21600,0.0,0.0,0.0,260,0.6939429105929453,-1.830152253641254,0.7000000000000001,1.0,101325,0.47000000000000003,-0.2633531584228299,-0.40256376210580463,-1.5845800011791145,21410.460871584415,1.8341494852177265,260.21758414799444,264.25,273.15,270.07628851459515,5.113814708343385,5.0,0,303.15,0,288.15,0,0.0,0,294.15,15.035969707286824,0.0,15.0,30.0,0,1,0,0.0,0.0,0.0,0.0,0.0
25200,0.0014112226032119422,0.0,0.0001281854736447479,9.602021407577666,394.9200373100225,56.64000000000001,25.92,288.14799452961836,48800,25200,1.5778688524590159,0.6166666666666667,1.6231884057971009,272,0.6939429105929453,-1.830152253641254,0.6000000000000001,1.0,101325,0.45,-0.07704378265294509,-0.4025092719784334,-1.322862026445799,25009.34136156773,1.6478401094478416,263.1436392363685,266.45,276.45,272.7133106174724,5.497787143782138,3.1,0,303.15,0,288.15,0,0.0025872654592462804,0,294.1991580437257,14.997994529618381,3.3000000000000114,15.0,30.0,0,0,0,0.0020054703816185793,0.009602021407577667,0.0,1.2818547364474788e-07,0.009602149593051312
28800,0.015907707590445772,0.0,0.016587713336674775,116.6451045319566,396.91274124355255,56.64000000000001,25.92,288.1516150135371,42700,28800,42.96106557377048,28.24917257683215,43.20223532301646,290,0.6939429105929453,-1.830152253641254,1.0,1.0,101325,0.51,0.09471305431587274,-0.4024545643865514,-1.061144017878134,28608.222316806758,1.4760832724790238,267.3149452825359,267.04999999999995,275.34999999999997,272.2028449661345,2.356194490192345,4.1,0,303.15,0,288.15,0,0.02890216479745827,0,294.6991411311517,15.001615013537105,2.1999999999999886,21.0,24.0,2,0,1,5.998384986462895,0.1166451045319566,0.0,1.6587713336674776e-05,0.11666169224529328
32400,0.18250016827008714,0.0,6.322063117029127,1285.0502052159673,603.6011789256809,566.4000000000001,259.20000000000005,294.16749519276055,45700,32400,108.6173155737705,38.18408511353597,102.00100114165276,287,0.6939429105929453,-1.830152253641254,0.9,1.0,101325,0.52,0.24506178705682258,-0.40239963937329404,-0.799425975345124,32207.103739102797,1.325734539738074,266.7871301331528,268.15,276.45,273.2108624522956,1.1868238913561442,3.1,0,297.15,0,294.15,0,0.33171104353985753,0,300.45250982725724,21.017495192760578,3.3000000000000114,21.0,24.0,2,1,1,0.0,1.2850502052159674,0.0,0.006322063117029127,1.2913722683329965
36000,0.1431593830830228,0.0,3.0555496802175766,784.0530569514553,730.3162457720564,566.4000000000001,259.20000000000005,294.2025148430496,61000,36000,101.96875,355.87497169286127,229.65804717922313,308,0.6939429105929453,-1.830152253641254,1.0,1.0,101325,0.28,0.3651450609728417,-0.4023444969819617,-0.5377078987158465,35805.985630256175,1.2056512658220548,271.454397348842,264.25,280.34999999999997,274.4307518040413,5.899212871740834,9.8,0,297.15,0,294.15,0,0.2599386098316573,0,299.08883358680146,21.052514843049607,7.199999999999989,21.0,24.0,2,1,1,0.0,0.7840530569514553,0.0,0.0030555496802175766,0.7871086066316729
39600,-2.513710563825984e-12,0.0,4.0664437750250066e-22,8.176338325881364e-10,807.3284865630081,566.4000000000001,259.20000000000005,294.45626503071105,88888,39600,77.5,874.2136174636174,426.5874553246122,286,0.6939429105929453,-1.830152253641254,0.6000000000000001,0.9,101325,0.23,0.44469386964529156,-0.40228913725601917,-0.275989787859447,39404.86799206626,1.126102457149605,266.44096098021805,262.54999999999995,280.95,274.4137236629069,5.113814708343385,10.3,0,297.15,0,294.15,0,0.0,0,294.15,21.306265030711074,7.800000000000011,21.0,24.0,2,1,1,0.0,8.176338325881364e-13,0.0,4.0664437750250067e-25,8.17633832588543e-13
