time,fcu_reaFloSup_y,fcu_reaPCoo_y,fcu_reaPFan_y,fcu_reaPHea_y,zon_reaCO2RooAir_y,zon_reaPLig_y,zon_reaPPlu_y,zon_reaTRooAir_y,zon_weaSta_reaWeaCeiHei_y,zon_weaSta_reaWeaCloTim_y,zon_weaSta_reaWeaHDifHor_y,zon_weaSta_reaWeaHDirNor_y,zon_weaSta_reaWeaHGloHor_y,zon_weaSta_reaWeaHHorIR_y,zon_weaSta_reaWeaLat_y,zon_weaSta_reaWeaLon_y,zon_weaSta_reaWeaNOpa_y,zon_weaSta_reaWeaNTot_y,zon_weaSta_reaWeaPAtm_y,zon_weaSta_reaWeaRelHum_y,zon_weaSta_reaWeaSolAlt_y,zon_weaSta_reaWeaSolDec_y,zon_weaSta_reaWeaSolHouAng_y,zon_weaSta_reaWeaSolTim_y,zon_weaSta_reaWeaSolZen_y,zon_weaSta_reaWeaTBlaSky_y,zon_weaSta_reaWeaTDewPoi_y,zon_weaSta_reaWeaTDryBul_y,zon_weaSta_reaWeaTWetBul_y,zon_weaSta_reaWeaWinDir_y,zon_weaSta_reaWeaWinSpe_y,con_oveTSetCoo_activate,con_oveTSetCoo_u,con_oveTSetHea_activate,con_oveTSetHea_u,fcu_oveFan_activate,fcu_oveFan_u,fcu_oveTSup_activate,fcu_oveTSup_u,room_temperature_C,outdoor_temperature_C
3600,0.0,0.0,0.0,0.0,316.77010563834216,56.64000000000001,25.92,290.405097251807,77777,3600,0.0,0.0,0.0,253,0.6939429105929453,-1.830152253641254,0.30000000000000004,0.7000000000000001,101325,0.5700000000000001,-1.2117031187437468,-0.40283294927680513,-2.893169371920129,3416.0653373907476,2.7824994455386434,258.4543868019217,266.54999999999995,273.15,270.67504560460424,3.543018381548489,2.8,0,303.15,0,288.15,0,0.0,0,294.15,17.255097251807,0.0
7200,0.0,0.0,0.0,0.0,349.51851726654303,56.64000000000001,25.92,289.8671004290895,77777,7200,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.9,101325,0.6,-1.0508888642530856,-0.4027795471132453,-2.631451564391207,7014.943528148608,2.621685191047982,259.0850159679427,267.04999999999995,273.15,270.8529351442124,3.543018381548489,3.3,0,303.15,0,288.15,0,0.0,0,294.15,16.7171004290895,0.0
10800,0.0,0.0,0.0,0.0,369.3814329753342,56.64000000000001,25.92,289.4183630195504,77777,10800,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.8,101325,0.5700000000000001,-0.8594404936344828,-0.4027259272719727,-2.3697337236839524,10613.822175141297,2.4302368204293794,258.94029223726903,266.45,273.15,270.67504560460424,3.141592653589793,3.7,0,303.15,0,288.15,0,0.0,0,294.15,16.268363019550407,0.0
14400,0.0,0.0,0.0,0.0,381.4289003436377,56.64000000000001,25.92,288.99375274764725,77777,14400,0.0,0.0,0.0,255,0.6939429105929453,-1.830152253641254,0.4,0.9,101325,0.5700000000000001,-0.6593038590675766,-0.4026720897952974,-2.1080158496670225,14212.701280174897,2.230100185862473,258.94029223726903,266.45,273.15,270.67504560460424,3.141592653589793,4.1,0,303.15,0,288.15,0,0.0,0,294.15,15.843752747647272,0.0
18000,0.0,0.0,0.0,0.0,388.7360586741795,56.64000000000001,25.92,288.58318651556743,77777,18000,0.0,0.0,0.0,257,0.6939429105929453,-1.830152253641254,0.5,1.0,101325,0.5700000000000001,-0.45894103277388965,-0.40261803472569446,-1.8462979422091441,17811.580845054545,2.029737359568786,259.45438147309414,266.54999999999995,273.15,270.67504560460424,3.543018381548489,4.6,0,303.15,0,288.15,0,0.0,0,294.15,15.433186515567456,0.0
21600,0.0,0.0,0.0,0.0,393.1680742368933,56.64000000000001,25.92,288.1859697072868,48800,21600,0.0,0.0,0.0,260,0.6939429105929453,-1.830152253641254,0.7000000000000001,1.0,101325,0.47000000000000003,-0.2633531584228299,-0.40256376210580463,-1.5845800011791145,21410.460871584415,1.8341494852177265,260.21758414799444,264.25,273.15,270.07628851459515,5.113814708343385,5.0,0,303.15,0,288.15,0,0.0,0,294.15,15.035969707286824,0.0
25200,0.0014112226032119422,0.0,0.0001281854736447479,9.602021407577666,394.9200373100225,56.64000000000001,25.92,288.14799452961836,48800,25200,1.5778688524590159,0.6166666666666667,1.6231884057971009,272,0.6939429105929453,-1.830152253641254,0.6000000000000001,1.0,101325,0.45,-0.07704378265294509,-0.4025092719784334,-1.322862026445799,25009.34136156773,1.6478401094478416,263.1436392363685,266.45,276.45,272.7133106174724,5.497787143782138,3.1,0,303.15,0,288.15,0,0.0025872654592462804,0,294.1991580437257,14.997994529618381,3.3000000000000114
28800,0.015907707590445772,0.0,0.016587713336674775,116.6451045319566,396.91274124355255,56.64000000000001,25.92,288.1516150135371,42700,28800,42.96106557377048,28.24917257683215,43.20223532301646,290,0.6939429105929453,-1.830152253641254,1.0,1.0,101325,0.51,0.09471305431587274,-0.4024545643865514,-1.061144017878134,28608.222316806758,1.4760832724790238,267.3149452825359,267.04999999999995,275.34999999999997,272.2028449661345,2.356194490192345,4.1,0,303.15,0,288.15,0,0.02890216479745827,0,294.6991411311517,15.001615013537105,2.1999999999999886
32400,0.18250016827008714,0.0,6.322063117029127,1285.0502052159673,603.6011789256809,566.4000000000001,259.20000000000005,294.16749519276055,45700,32400,108.6173155737705,38.18408511353597,102.00100114165276,287,0.6939429105929453,-1.830152253641254,0.9,1.0,101325,0.52,0.24506178705682258,-0.40239963937329404,-0.799425975345124,32207.103739102797,1.325734539738074,266.7871301331528,268.15,276.45,273.2108624522956,1.1868238913561442,3.1,0,297.15,0,294.15,0,0.33171104353985753,0,300.45250982725724,21.017495192760578,3.3000000000000114
36000,0.1431593830830228,0.0,3.0555496802175766,784.0530569514553,730.3162457720564,566.4000000000001,259.20000000000005,294.2025148430496,61000,36000,101.96875,355.87497169286127,229.65804717922313,308,0.6939429105929453,-1.830152253641254,1.0,1.0,101325,0.28,0.3651450609728417,-0.4023444969819617,-0.5377078987158465,35805.985630256175,1.2056512658220548,271.454397348842,264.25,280.34999999999997,274.4307518040413,5.899212871740834,9.8,0,297.15,0,294.15,0,0.2599386098316573,0,299.08883358680146,21.052514843049607,7.199999999999989
39600,-2.513710563825984e-12,0.0,4.0664437750250066e-22,8.176338325881364e-10,807.3284865630081,566.4000000000001,259.20000000000005,294.45626503071105,88888,39600,77.5,874.2136174636174,426.5874553246122,286,0.6939429105929453,-1.830152253641254,0.6000000000000001,0.9,101325,0.23,0.44469386964529156,-0.40228913725601917,-0.275989787859447,39404.86799206626,1.126102457149605,266.44096098021805,262.54999999999995,280.95,274.4137236629069,5.113814708343385,10.3,0,297.15,0,294.15,0,0.0,0,294.15,21.306265030711074,7.800000000000011
43200,2.1893428465217796e-48,1.9903214957202038e-45,3.0846914951772724e-94,0.0,854.2285581704283,566.4000000000001,259.20000000000005,296.8384205693039,77777,43200,52.5,937.9371907118386,474.60614525139664,279,0.6939429105929453,-1.830152253641254,0.1,0.1,101325,0.25,0.4745388675537674,-0.40223356023909607,-0.01427164264514279,43003.75082633145,1.0962574592411292,264.74861441222856,264.25,282.04999999999995,275.402204033457,5.113814708343385,9.3,0,297.15,0,294.15,0,0.0,0,294.15,23.6884205693039,8.899999999999977
46800,0.17352945579245924,224.08902492137125,5.434862805526992,0.0,882.4728479533885,566.4000000000001,259.20000000000005,297.2002709967435,77777,46800,28.39423076923077,940.7389509470617,455.6853889127632,281,0.6939429105929453,-1.830152253641254,0.1,0.1,101325,0.24,0.4505974989149715,-0.40217776597498606,0.24744653705777575,46602.63413484914,1.120198827879925,265.21794363472856,264.25,282.54999999999995,275.6641670802351,5.497787143782138,9.3,0,297.15,0,294.15,0,0.3158234746155603,0,293.36011830461325,24.050270996743507,9.399999999999977
50400,0.2323915959013578,397.9367114461866,13.053597768149992,0.0,899.758763831804,566.4000000000001,259.20000000000005,297.1705509826786,77777,50400,9.830769230769231,891.9157052712092,369.14932255244753,278,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.19,0.3761755546132537,-0.4021217545076476,0.5091647513799508,50201.51791941577,1.1946207721816429,264.65224804954534,262.54999999999995,283.75,275.9870459969196,5.113814708343385,9.3,0,297.15,0,294.15,0,0.4226545458186888,0,292.0781454501757,24.02055098267863,10.600000000000023
54000,0.24806308728808207,451.7093932407149,15.876523276703526,0.0,910.2617093205102,566.4000000000001,259.20000000000005,297.1530857803398,77777,54000,0.5597222222222227,757.6397200572716,239.08053782689913,281,0.6939429105929453,-1.830152253641254,0.1,0.1,101325,0.2,0.26007910027964765,-0.402065525881203,0.7708830004519501,53800.40218182679,1.310717226515249,265.3499476691186,262.54999999999995,283.15,275.67794960497844,5.497787143782138,4.6,0,297.15,0,294.15,0,0.4510407987113724,0,291.73751041546353,24.003085780339802,10.0
57600,0.23420440760771094,400.26749840389084,13.361467608157938,0.0,916.6433077674634,566.4000000000001,259.20000000000005,297.1247710323823,77777,57600,6.8069444444444445,370.82250670840784,90.93792808219179,275,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.23,0.1126202724138945,-0.4020090801399387,1.0326012844042707,57399.28692387665,1.458176054381002,263.8358026284259,263.75,282.54999999999995,275.5632979278781,4.71238898038469,8.8,0,297.15,0,294.15,0,0.4256562863346587,0,292.0421245639841,23.974771032382307,9.399999999999977
61200,0.16967596141208596,209.00211823425448,5.080774582336521,0.0,920.5207783985684,566.4000000000001,259.20000000000005,297.1141594347934,77777,61200,6.283333333333333,19.807412790697676,0.0,263,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.24,-0.057127972776151115,-0.40195241732830533,1.2943196033673374,60998.172147358826,1.6279242995710477,260.88906888117407,262.04999999999995,279.84999999999997,273.70416980112697,0.4014257279586958,7.7,0,297.15,0,294.15,0,0.30827598914775256,0,293.4506881302269,23.96415943479343,6.699999999999989
64800,0.12406223029676128,111.73741535427041,2.004958431309756,0.0,922.8767349605051,566.4000000000001,259.20000000000005,297.12410735612445,77777,64800,0.0,0.0,0.0,258,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.25,-0.2420947988553559,-0.4018955374909173,1.5560379574715018,64597.057854065795,1.8128911256502525,259.71283362737427,261.45,278.75,272.9783584527755,1.1868238913561442,4.6,0,297.15,0,294.15,0,0.22539933808715074,0,294.44520794295414,23.974107356124478,5.600000000000023
68400,2.562318684157385e-38,1.8863585724599077e-36,4.225252354675896e-74,0.0,718.2757046290042,56.64000000000001,25.92,295.9756060945016,77777,68400,0.0,0.0,0.0,249,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.35000000000000003,-0.43686024167617354,-0.40183844067255253,1.8177563468470448,68195.94404578903,2.00765656847107,257.5253798047239,263.15,275.95,271.59346783927634,1.9722220547535925,1.5,0,303.15,0,288.15,0,0.0,0,294.15,22.82560609450161,2.8000000000000114
72000,-1.8558356964637715e-89,9.11089508736796e-87,2.216488149044555e-176,0.0,593.0444483156505,56.64000000000001,25.92,295.1595227329874,77777,72000,0.0,0.0,0.0,247,0.6939429105929453,-1.830152253641254,0.0,0.0,101325,0.36,-0.6368748180059738,-0.40178112691815293,2.0794747716241733,71794.830724319,2.2076711448008703,256.96544058427514,263.15,275.34999999999997,271.18391097026574,1.9722220547535925,3.1,0,303.15,0,288.15,0,0.0,0,294.15,22.00952273298742,2.1999999999999886
75600,3.230186725922449e-140,0.0,6.71493204281739e-278,1.0241037934971372e-136,517.0876648248498,56.64000000000001,25.92,294.46855301980736,77777,75600,0.0,0.0,0.0,248,0.6939429105929453,-1.830152253641254,0.1,0.1,101325,0.32,-0.83726512547788,-0.4017235962728238,2.3411932319330218,75393.71789144521,2.4080614522727766,257.2983487618958,261.45,274.84999999999997,270.51293740938013,1.1868238913561442,2.1,0,303.15,0,288.15,0,0.0,0,294.15,21.318553019807382,1.6999999999999886
79200,-2.616428518493594e-191,3.568031858182774e-188,0.0,0.0,471.01743341367523,56.64000000000001,25.92,293.7565340795863,77777,79200,0.0,0.0,0.0,252,0.6939429105929453,-1.830152253641254,0.4,0.4,101325,0.35000000000000003,-1.0301800677883182,-0.40166584878183376,2.6029117279036496,78992.60554895607,2.6009763945832147,258.2777811977377,261.45,273.75,269.83074420482916,1.1868238913561442,2.6,0,303.15,0,288.15,0,0.0,0,294.15,20.60653407958631,0.6000000000000227
82800,4.6362033790466183e-243,0.0,0.0,2.5634210925800573e-239,443.0743567754149,56.64000000000001,25.92,293.0263397747536,77777,82800,0.0,0.0,0.0,252,0.6939429105929453,-1.830152253641254,0.4,0.4,101325,0.45,-1.1960720507887586,-0.40160788449061485,2.8646302596660433,82591.49369863905,2.766868377583655,258.2819203247749,263.75,273.15,269.9554609174555,0.7853981633974483,9.3,0,303.15,0,288.15,0,0.0,0,294.15,19.876339774753603,0.0
86400,1.1176360238154248e-293,0.0,0.0,7.038847078068558e-290,426.12598234588467,56.64000000000001,25.92,292.01627583886363,1200,86400,0.0,0.0,0.0,262,0.6939429105929453,-1.830152253641254,1.0,1.0,101325,0.79,-1.2781180441695068,-0.4015497034447621,3.126348827350118,86190.3823422806,2.8489143709644034,260.6399097771123,265.95,268.75,267.7977438996161,0.4014257279586958,7.7,0,303.15,0,288.15,0,0.0,0,294.15,18.866275838863658,-4.399999999999977
